gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,4,pls,0,0.0583823520264781,0.0583823520264781,0.0,,,-0.1897243146363734,0,201
CO,4,pls,2,0.0583823520264781,0.0886586612474921,-0.030276309221013993,1.0477954731930286,0.1475486903454732,-0.1897243146363734,2,201
CO,4,pls,5,0.0583823520264781,0.0625740520524744,-0.004191700025996302,0.4101291612705162,0.1016032673609748,-0.1897243146363734,5,201
CO,4,pls,10,0.0583823520264781,0.0578868885743996,0.0004954634520785012,0.1648763930291024,0.0839322034137544,-0.1897243146363734,10,201
CO,4,pls,20,0.0583823520264781,0.0602670489582021,-0.0018846969317239948,0.137922667750259,0.0819901213470215,-0.1897243146363734,20,201
CO,4,pls,50,0.0583823520264781,0.0572498303540145,0.001132521672463603,-0.1656477262741467,0.0601171293161722,-0.1897243146363734,50,201
CO,4,random_forest,0,0.0546879344259304,0.0546879344259304,0.0,,,-0.338474045772076,0,201
CO,4,random_forest,2,0.0546879344259304,0.0614334445950665,-0.006745510169136097,-0.385229129197384,0.050822721095901,-0.3384740457720762,2,201
CO,4,random_forest,5,0.0546879344259304,0.0540340999350522,0.0006538344908782051,-0.4385111150698053,0.0464179328470784,-0.3384740457720759,5,201
CO,4,random_forest,10,0.0546879344259304,0.0535523864346636,0.0011355479912668054,0.0202360113732041,0.084342269161713,-0.3384740457720759,10,201
CO,4,random_forest,20,0.0546879344259304,0.0546804902166664,7.444209264004242e-06,0.137066735481721,0.0940005916177646,-0.338474045772076,20,201
CO,4,random_forest,50,0.0546879344259304,0.0523151823825016,0.002372752043428801,-0.2197911731318612,0.0644993728357873,-0.338474045772076,50,201
CO,4,xgboost,0,0.0568490606368537,0.0568490606368537,0.0,,,-0.2825378710350361,0,201
CO,4,xgboost,2,0.0568490606368537,0.0802526019633481,-0.0234035413264944,0.0614173980451374,0.0841028112654936,-0.2825378710350361,2,201
CO,4,xgboost,5,0.0568490606368537,0.0563675461321998,0.00048151450465390433,0.0016908510717973,0.0793702993273156,-0.2825378710350361,5,201
CO,4,xgboost,10,0.0568490606368537,0.0554028985374158,0.0014461620994379032,0.2695410834529972,0.100593766723708,-0.2825378710350361,10,201
CO,4,xgboost,20,0.0568490606368537,0.0581687131451053,-0.001319652508251598,0.3085637777357136,0.1036857815129651,-0.2825378710350361,20,201
CO,4,xgboost,50,0.0568490606368537,0.0548459676571275,0.002003092979726201,-0.0964485579967337,0.071594093459766,-0.2825378710350361,50,201
CO,5,pls,0,0.0822174721446088,0.0822174721446088,0.0,,,-0.0957678190636979,0,139
CO,5,pls,2,0.0822174721446088,0.146945680971035,-0.0647282088264262,1.3150810014690797,0.2104991525005297,-0.0957678190636979,2,139
CO,5,pls,5,0.0822174721446088,0.1233850342249048,-0.041167562080296,0.6279138548989499,0.1480183572767641,-0.0957678190636979,5,139
CO,5,pls,10,0.0822174721446088,0.1000972401168485,-0.017879767972239696,0.2100169380268791,0.1100210056599809,-0.0957678190636979,10,139
CO,5,pls,20,0.0822174721446088,0.0832172309567707,-0.0009997588121618967,0.0319290604807303,0.0938283336669517,-0.0957678190636979,20,139
CO,5,pls,50,0.0822174721446088,0.0814596358984695,0.0007578362461393012,-0.043142460464157,0.0870024422507132,-0.0957678190636979,50,139
CO,5,random_forest,0,0.0733907988273597,0.0733907988273597,0.0,,,-0.2827097703303162,0,139
CO,5,random_forest,2,0.0733907988273597,0.1104075262555807,-0.037016727428221,0.2175169369493912,0.1245723654004102,-0.2827097703303164,2,139
CO,5,random_forest,5,0.0733907988273597,0.101214449244247,-0.027823650416887294,-0.16208412194132,0.0857328220812013,-0.2827097703303162,5,139
CO,5,random_forest,10,0.0733907988273597,0.0783542844911326,-0.004963485663772901,-0.0992679240742509,0.0921599707444205,-0.2827097703303162,10,139
CO,5,random_forest,20,0.0733907988273597,0.0711067619828841,0.0022840368444756037,-0.1790580923836572,0.0839961007395364,-0.2827097703303162,20,139
CO,5,random_forest,50,0.0733907988273597,0.0704475761226343,0.0029432227047253984,-0.2293090610940927,0.0788545853766325,-0.2827097703303162,50,139
CO,5,xgboost,0,0.0690107902755066,0.0690107902755066,0.0,,,-0.2887317811077114,0,139
CO,5,xgboost,2,0.0690107902755066,0.1105143403353812,-0.04150355005987459,0.549722025743645,0.1503617606737519,-0.2887317811077114,2,139
CO,5,xgboost,5,0.0690107902755066,0.10259208776103,-0.033581297485523395,0.0748549341050066,0.1042877868909072,-0.2887317811077114,5,139
CO,5,xgboost,10,0.0690107902755066,0.0800404689155106,-0.011029678640003995,-0.0785180005196472,0.0894067797768753,-0.2887317811077114,10,139
CO,5,xgboost,20,0.0690107902755066,0.0667090176097593,0.002301772665747312,-0.1631433686652605,0.0811960044631974,-0.2887317811077114,20,139
CO,5,xgboost,50,0.0690107902755066,0.0665271492029772,0.002483641072529408,-0.2008019628494417,0.0775421798211202,-0.2887317811077114,50,139
CO,6,pls,0,0.0615553715562399,0.0615553715562399,0.0,,,-0.2191481438138589,0,134
CO,6,pls,2,0.0615553715562399,0.0641607720107493,-0.002605400454509396,0.1505389185491824,0.0906981907773384,-0.2191481438138589,2,134
