gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,mae_f,mae_l,slope,d_ref,seed,ratio,mae_ratio
CO,4,pls,0,0.0583823520264781,0.0583823520264781,0.2492473834594623,0.2492473834594623,1.0636602719077428,,20260826,1.0,1.0
CO,4,random_forest,0,0.0546879344259304,0.0546879344259304,0.2288159203980099,0.2288159203980099,0.9785386813526183,,20260826,1.0,1.0
CO,4,xgboost,0,0.0568490606368537,0.0568490606368537,0.2408495679720124,0.2408495679720124,0.9819488077610165,,20260826,1.0,1.0
CO,4,pls,2,0.0583823520264781,0.0886586612474921,0.2492473834594623,0.3822003606991971,0.8277035589377937,1.0477954731930286,20260826,1.5185866648072486,1.5334177450306448
CO,4,random_forest,2,0.0546879344259304,0.0614334445950665,0.2288159203980099,0.253707584558564,0.8811041869379374,-0.3852291291973809,20260826,1.1233454918337105,1.108784668991811
CO,4,xgboost,2,0.0568490606368537,0.0802526019633481,0.2408495679720124,0.3350402270112187,0.8553991516777237,0.0614173980451374,20260826,1.411678593530225,1.39107671993064
CO,4,pls,3,0.0583823520264781,0.0915485739136077,0.2492473834594623,0.3980423864291545,0.8517434866475007,0.6961432675019207,20260826,1.568086429133375,1.596977191513396
CO,4,random_forest,3,0.0546879344259304,0.0634569685196543,0.2288159203980099,0.2622848598767721,0.920000241827852,-0.4385969236636247,20260826,1.160346778238639,1.1462701520966951
CO,4,xgboost,3,0.0568490606368537,0.0829944745918323,0.2408495679720124,0.351993606773302,0.8753769597831499,-0.1017142617464264,20260826,1.4599093399624135,1.461466631379654
CO,4,pls,4,0.0583823520264781,0.0670874138503406,0.2492473834594623,0.2880022308146807,0.94068187729645,0.4740447940921074,20260826,1.1491043358430386,1.1554874792156906
CO,4,random_forest,4,0.0546879344259304,0.0545567844491909,0.2288159203980099,0.2277157360829701,0.973249379348706,-0.3907181775887086,20260826,0.9976018480471751,0.9951918366819664
CO,4,xgboost,4,0.0568490606368537,0.0598390248979446,0.2408495679720124,0.2567311287210473,0.9783211012560896,-0.0451052268981013,20260826,1.0525947874528745,1.0659397518656974
CO,4,pls,5,0.0583823520264781,0.0625740520524744,0.2492473834594623,0.2680664836082181,0.9172843180261628,0.4101291612705162,20260826,1.0717973819227982,1.0755037019348153
CO,4,random_forest,5,0.0546879344259304,0.0540340999350523,0.2288159203980099,0.2244049593087836,0.966971771838002,-0.4385111150698061,20260826,0.9880442642834928,0.9807226652692971
CO,4,xgboost,5,0.0568490606368537,0.0563675461321998,0.2408495679720124,0.2381596426111938,0.9552631963375232,0.0016908510717973,20260826,0.9915299479136556,0.9888315126181535
CO,4,pls,6,0.0583823520264781,0.0578819465304383,0.2492473834594623,0.2503269880332487,0.9521143993305636,0.3409832056222386,20260826,0.9914288226035695,1.0043314580028961
CO,4,random_forest,6,0.0546879344259304,0.0534278528220752,0.2288159203980098,0.2188690336505605,1.032750282935223,0.1624988489156544,20260826,0.9769586908505045,0.9565288694503977
CO,4,xgboost,6,0.0568490606368537,0.056380125630141,0.2408495679720124,0.2285086101919668,1.038970032740942,0.5396651102177658,20260826,0.9917512268195914,0.9487607227865998
CO,4,pls,8,0.0583823520264781,0.0586681015157914,0.2492473834594623,0.2526252084136276,0.9539202663435288,0.2292667246778224,20260826,1.004894449767692,1.0135520979489627
CO,4,random_forest,8,0.0546879344259304,0.0537150635544415,0.2288159203980098,0.2269985302495505,1.0508698524341231,0.1316847871839765,20260826,0.9822105025230645,0.9920574139015411
CO,4,xgboost,8,0.0568490606368537,0.0555374275425328,0.2408495679720124,0.2310922712395861,1.0549423023246332,0.4016043024115225,20260826,0.976927796525971,0.9594880040077126
CO,4,pls,10,0.0583823520264781,0.0578868885743996,0.2492473834594623,0.25029150420812,0.9526238266635983,0.1648763930291024,20260826,0.9915134722243839,1.0041890941207314
CO,4,random_forest,10,0.0546879344259304,0.0535523864346636,0.2288159203980099,0.225547535783369,1.0511684219380697,0.0202360113732052,20260826,0.9792358588199231,0.9857160961136106
CO,4,xgboost,10,0.0568490606368537,0.0554028985374158,0.2408495679720124,0.2291493292522619,1.0528833846952383,0.2695410834529972,20260826,0.9745613721099835,0.9514209686225797
CO,4,pls,20,0.0583823520264781,0.0602670489582021,0.2492473834594623,0.2583777371390525,1.027306748559609,0.137922667750259,20260826,1.0322819630642703,1.0366316931911752
CO,4,random_forest,20,0.0546879344259304,0.0546804902166664,0.2288159203980099,0.2272816838585898,1.074190813453822,0.1370667354817209,20260826,0.9998638783976366,0.9932948872755383
CO,4,xgboost,20,0.0568490606368537,0.0581687131451053,0.2408495679720124,0.2354988392884493,1.0629112641697014,0.3085637777357136,20260826,1.0232132684949962,0.9777839390428765
CO,4,pls,50,0.0583823520264781,0.0572498303540145,0.2492473834594623,0.2470203232210344,1.0256032488766162,-0.1656477262741467,20260826,0.9806016435934275,0.9910648601099955
CO,4,random_forest,50,0.0546879344259304,0.0523151823825016,0.2288159203980099,0.2148000941299872,1.0075618234880832,-0.2197911731318612,20260826,0.9566128787211288,0.9387462802254183
CO,4,xgboost,50,0.0568490606368537,0.0548459676571275,0.2408495679720124,0.2243928749279014,1.024981005736502,-0.0964485579967337,20260826,0.9647647127800094,0.9316723165306929
CO,5,pls,0,0.0822174721446088,0.0822174721446088,0.2958795530870369,0.2958795530870369,1.0594402856969685,,20260826,1.0,1.0
CO,5,random_forest,0,0.0733907988273597,0.0733907988273597,0.268525179856115,0.2685251798561151,1.0031630389928576,,20260826,1.0,1.0000000000000004
CO,5,xgboost,0,0.0690107902755066,0.0690107902755066,0.2569756904094339,0.2569756904094339,1.0463120503780372,,20260826,1.0,1.0
CO,5,pls,2,0.0822174721446088,0.146945680971035,0.2958795530870369,0.5741607131615455,0.7591427155416426,1.3150810014690797,20260826,1.7872804543610696,1.9405217669524075
CO,5,random_forest,2,0.0733907988273597,0.110407526255581,0.268525179856115,0.4121893899940083,0.8110868218209902,0.2175169369493922,20260826,1.5043783147162266,1.5350120618665015
CO,5,xgboost,2,0.0690107902755066,0.1105143403353812,0.2569756904094339,0.4149169245397014,0.7860000154458996,0.549722025743645,20260826,1.6014066770454747,1.614615467628954
CO,5,pls,3,0.0822174721446088,0.1466851305979719,0.2958795530870369,0.5724285620481868,0.7580224536713279,0.9044492070681104,20260826,1.7841114153932351,1.9346675229017916
CO,5,random_forest,3,0.0733907988273597,0.1063241554074674,0.268525179856115,0.3903363481967717,0.7936245236849956,0.0230068744765244,20260826,1.4487395846116655,1.4536303388975562
CO,5,xgboost,3,0.0690107902755066,0.1095452526788791,0.2569756904094339,0.4091359743452665,0.7808006882835251,0.2773971295164224,20260826,1.5873641243861982,1.5921193700983889
CO,5,pls,4,0.0822174721446088,0.1319047837169606,0.2958795530870369,0.50851332622977,0.7829134787745673,0.7895527191362687,20260826,1.6043400542035506,1.7186497712472346
