gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,slope,d_ref,n_reference,n_test,ratio,delta_nrmse,window_set
CO,4,pls,0,0.0583823520264781,0.0583823520264781,1.0636602719077428,,0,201,1.0,0.0,fit
CO,4,random_forest,0,0.0546879344259304,0.0546879344259304,0.9785386813526183,,0,201,1.0,0.0,fit
CO,4,xgboost,0,0.0568490606368537,0.0568490606368537,0.9819488077610165,,0,201,1.0,0.0,fit
CO,5,pls,0,0.0822174721446088,0.0822174721446088,1.0594402856969685,,0,139,1.0,0.0,fit
CO,5,random_forest,0,0.0733907988273597,0.0733907988273597,1.0031630389928576,,0,139,1.0,0.0,fit
CO,5,xgboost,0,0.0690107902755066,0.0690107902755066,1.0463120503780372,,0,139,1.0,0.0,fit
CO,6,pls,0,0.0615553715562399,0.0615553715562399,0.9442126041790848,,0,134,1.0,0.0,fit
CO,6,random_forest,0,0.0476180777189675,0.0476180777189675,0.937073372042864,,0,134,1.0,0.0,fit
CO,6,xgboost,0,0.0528854217363982,0.0528854217363982,0.9525820136634268,,0,134,1.0,0.0,fit
CO,7,pls,0,0.0857710136267991,0.0857710136267991,1.0484107961264508,,0,139,1.0,0.0,fit
CO,7,random_forest,0,0.0593806397269783,0.0593806397269783,1.0082230641511254,,0,139,1.0,0.0,fit
CO,7,xgboost,0,0.0697857724722782,0.0697857724722782,1.050828917807343,,0,139,1.0,0.0,fit
CO,8,pls,0,0.0588818442499116,0.0588818442499116,1.0694354913299875,,0,141,1.0,0.0,fit
CO,8,random_forest,0,0.048617904578622,0.048617904578622,1.0003238236420362,,0,141,1.0,0.0,fit
CO,8,xgboost,0,0.0533142158383381,0.0533142158383381,1.033415894528114,,0,141,1.0,0.0,fit
CO,9,pls,0,0.1327562316483089,0.1327562316483089,1.0397533667803762,,0,202,1.0,0.0,fit
CO,9,random_forest,0,0.0912422264134439,0.0912422264134439,1.0565410866970273,,0,202,1.0,0.0,fit
CO,9,xgboost,0,0.0963448326513352,0.0963448326513352,1.1372295370747472,,0,202,1.0,0.0,fit
CO,10,pls,0,0.1756550953007581,0.1756550953007581,1.142803017310638,,0,146,1.0,0.0,held
CO,10,random_forest,0,0.1300943282644379,0.1300943282644379,1.199236567731019,,0,146,1.0,0.0,held
CO,10,xgboost,0,0.1293286642113204,0.1293286642113204,1.2138935282470886,,0,146,1.0,0.0,held
CO,11,pls,0,0.1442547854127872,0.1442547854127872,0.9943265315383828,,0,189,1.0,0.0,held
CO,11,random_forest,0,0.099977689158321,0.099977689158321,1.0435401938148463,,0,189,1.0,0.0,held
CO,11,xgboost,0,0.1093478810070328,0.1093478810070328,1.1323632207685117,,0,189,1.0,0.0,held
CO,12,pls,0,0.1644128654450597,0.1644128654450597,0.929205801104628,,0,189,1.0,0.0,held
CO,12,random_forest,0,0.0943580757821741,0.0943580757821741,1.0553053450529837,,0,189,1.0,0.0,held
CO,12,xgboost,0,0.0928600412502785,0.0928600412502785,1.177172998275753,,0,189,1.0,0.0,held
CO,13,pls,0,0.1174648205383987,0.1174648205383987,1.0084235970652695,,0,209,1.0,0.0,held
CO,13,random_forest,0,0.0786730254450533,0.0786730254450533,1.079230694142015,,0,209,1.0,0.0,held
