budget,n_cells,frozen_mean,frozen_median,light_mean,light_median,light_q1,light_q3,ratio_mean,ratio_median,ratio_q1,ratio_q3,ratio_max,cells_gt2,cells_negative_slope,cells_improved,slope_mean,slope_median,slope_std,slope_iqr,slope_min,slope_max
0,90,0.18413773570410366,0.132693992648804,0.18413773570410366,0.132693992648804,0.0938813659004297,0.2844699389341978,1.0,1.0,1.0,1.0,1.0,0,0,0,1.336499762779527,1.174664776471919,0.3947622957523258,0.5480581962515267,0.8975832258561104,2.275774457469909
2,90,0.18413773570410366,0.132693992648804,0.29585136650201976,0.14442162849950055,0.10636978812454137,0.20832115569419934,2.0054176690205767,1.0087529477402106,0.7084044639349489,1.3063183189136076,44.52894440066961,8,3,44,0.7594270657354281,0.7861379759420328,0.2403779908610077,0.23600327602106852,-0.119947059165562,1.155868442290106
3,90,0.18413773570410366,0.132693992648804,0.15913260084625117,0.1416070916843124,0.10528835734027159,0.17988576279611646,1.0350160958200678,0.9921764265870794,0.6912213868571083,1.273146412623424,2.1649857821362835,4,0,45,0.8483388364587527,0.8055636838973703,0.3312710284444285,0.2507889704662585,0.3542813711932286,2.6632024667362746
4,90,0.18413773570410366,0.132693992648804,0.13608176652283324,0.13060671578443225,0.10038969188066048,0.15477049908183477,0.9056423769295895,0.8991480893407764,0.5802079700626834,1.1065097261443784,1.9560090655252012,0,0,55,0.8912498552455684,0.8583058925232244,0.32953675270678245,0.20218680049611482,0.490905404765088,2.8144661649999763
5,90,0.18413773570410366,0.132693992648804,0.12929705785615392,0.12631286913534526,0.1006264607003115,0.14615740598309218,0.8767996385619499,0.8571667987920898,0.5679325362798515,1.072569682522868,1.958975933524524,0,0,59,0.8837825125025499,0.8600274648301851,0.2607145549688772,0.21612483686777983,0.5039852242320094,2.185625785682117
6,90,0.18413773570410366,0.132693992648804,0.12217979085491651,0.12035664159270246,0.09852391026686724,0.14698158128808542,0.8414734213690295,0.8576849237371268,0.5315962615623595,1.03605745367878,1.882987462864169,0,0,61,0.9222916985163412,0.888028392726229,0.2933998554059334,0.2140908206233062,0.5945657476012435,2.535364153811452
8,90,0.18413773570410366,0.132693992648804,0.11445756785565576,0.11292974693912665,0.09636570318553445,0.13578809444742823,0.7925835814917848,0.8371233170330576,0.5011986079096808,1.0415220536701013,1.3758083296752788,0,0,62,0.965321355168067,0.9069154165905497,0.27814571529479193,0.19914220270278005,0.5917594079659001,2.4348659792164757
10,90,0.18413773570410366,0.132693992648804,0.1122323403376382,0.10970932759371325,0.09441581470378695,0.1354313275355335,0.7787488703207616,0.8259027354379687,0.45387316585218385,1.0323544863728267,1.2982601002062115,0,0,63,1.0153216063660122,0.9525581192654333,0.285534922511873,0.22733547885842476,0.7034004456831462,2.4885475965382047
20,90,0.18413773570410366,0.132693992648804,0.10856819035974434,0.10733373183457004,0.0946446794999852,0.12990551920218085,0.7571358090305611,0.8338342920208052,0.4749334897386466,0.9920849924999248,1.6352341475402539,0,0,70,0.9826257136864388,0.9797561850821201,0.12604206745983573,0.17106807700998872,0.6985317305794029,1.391845613943125
50,90,0.18413773570410366,0.132693992648804,0.10563463144574074,0.1066459764670971,0.08978829108287997,0.1273326869772026,0.7290911168133345,0.8163221524127492,0.4634888587573349,0.9629822650970116,1.159834341034789,0,0,83,0.9824946738562901,0.988071126528115,0.08761542510184862,0.10568540525552939,0.7305789348126589,1.199925163636309
