gas_id,model,budget,strategy,n_temporal_windows,nrmse_median,nrmse_q1,nrmse_q3,mae_median,mae_q1,mae_q3,delta_nrmse_median,delta_nrmse_q1,delta_nrmse_q3,calibration_slope_median,recovered_loss_median,recovered_loss_q1,recovered_loss_q3,recovered_loss_min,recovered_loss_max,oracle_denominator_median,oracle_denominator_min,oracle_denominator_max,n_recovered_loss_abs_gt_5
Diacetyl,pls,5,frozen,4,0.3067139576241159,0.18614699238080795,0.42536526724792445,0.2168964371349976,0.1363398888948469,0.29589738006249533,0.0,0.0,0.0,1.3735305599713887,0.0,0.0,0.0,0.0,0.0,0.13255007417696524,0.028498662641814998,0.30148417601327226,0
Diacetyl,pls,5,calibrator_update,4,0.24828618640877081,0.2034027389554359,0.2898512069447688,0.17671175728708927,0.1399448014824995,0.21289320860789585,-0.06288371787955276,-0.17267540774632376,0.049961147353588455,0.7961307959289451,-0.3398306185058442,-1.3336019276752675,0.6503764136107755,-1.7004286799041526,1.0065103346812494,0.13255007417696524,0.028498662641814998,0.30148417601327226,0
Diacetyl,pls,5,full_retrain,4,0.23207044591493087,0.17803492835724927,0.2777580556687112,0.1618726112530414,0.12734826950177341,0.19024382521478703,-0.07154177991995264,-0.14015127986667142,-0.01246626394686804,1.1745513004112065,0.5476158829899744,0.4115742556759978,0.5900749605324549,0.1048179618195323,0.616083605074432,0.13255007417696524,0.028498662641814998,0.30148417601327226,0
Diacetyl,random_forest,5,frozen,4,0.13218096021725412,0.07004846836752852,0.17715573015161643,0.0836250000000004,0.03243750000000015,0.1291875000000006,0.0,0.0,2.42861286636753e-17,1.2150849824710628,0.0,-7.783358852756667e-17,0.0,-3.113343541102667e-16,0.0,0.12303206704056877,0.0020412414523194,0.1709322117106563,0
Diacetyl,random_forest,5,calibrator_update,4,0.06950427433334484,0.04316179409162545,0.0850591632863293,0.0350601856157912,0.022126291278273324,0.044490019283025053,-0.045244280876736605,-0.10111644535610036,-0.00043439077791717403,1.0018216481783422,0.4667753999315817,0.26984643551584464,0.6267401708690473,-0.0053464403623609,0.7910404663124389,0.12303206704056877,0.0020412414523194,0.1709322117106563,0
Diacetyl,random_forest,5,full_retrain,4,0.0600289366229511,0.040137479073448404,0.06894268128690455,0.03412500000000015,0.025500000000000075,0.037031250000000196,-0.06151724594218906,-0.11353043769076883,-0.013958822815909207,1.0717264321141695,0.7409523130061393,0.5526450329725346,0.8590674346809111,0.201135992576947,1.0,0.12303206704056877,0.0020412414523194,0.1709322117106563,0
Diacetyl,xgboost,5,frozen,4,0.25459590645652513,0.05606401109135904,0.4628088273994436,0.1386455180589109,0.03231188997160635,0.262881990460058,0.0,0.0,0.0,1.0240738645779288,0.0,0.0,0.0,0.0,0.0,0.2507763460206193,0.0028423292017759,0.5440006777034939,0
Diacetyl,xgboost,5,calibrator_update,4,0.13520071117936855,0.04561037058521038,0.38634165242738566,0.09684220701600316,0.030124709966258274,0.22413563113764073,-0.005977071508065446,-0.09426737553278307,0.1207646838236676,1.0099150834462474,-0.41540477186206476,-1.0593472866629465,0.3148833435756373,-1.0962331332229545,0.6108059920461062,0.2507763460206193,0.0028423292017759,0.5440006777034939,0
Diacetyl,xgboost,5,full_retrain,4,0.0897183891082523,0.04377793514721362,0.1240569984213007,0.04324384393791355,0.015862968998650702,0.06831812420859928,-0.16002871659594986,-0.33390302822581996,-0.012286075944145424,1.0678239649699974,0.7202069023242532,0.5845934194809913,0.7466639315447998,0.2271524709444726,0.776635519213173,0.2507763460206193,0.0028423292017759,0.5440006777034939,0
Phenylethanol,pls,5,frozen,4,0.7417367978975409,0.6194272241208675,0.8541337764373442,497.10042232613296,424.0658216428376,560.614462427127,0.0,0.0,0.0,0.9251895181394922,0.0,0.0,0.0,0.0,0.0,0.239944423279616,0.11945915758849068,0.3455378143893406,0
