gas_id,target_batch,model,budget,n_test,frozen_nrmse,nrmse,delta_nrmse,oracle_nrmse,oracle_denominator,recovered_loss,frozen_nrmse_relative_increase,drift_hit,recovery_hit,inadequate,small_oracle_denominator_lt_0_05
Diacetyl,4,pls,5,12,0.4493146214849783,0.2890260049105024,-0.1602886165744759,0.147830445471706,0.30148417601327226,0.5316651065872842,2.190721575479829,True,True,False,False
Diacetyl,5,pls,5,12,0.4173821491689065,0.2075463679070392,-0.20983578126186728,0.2089036328223059,0.20847851634660058,1.0065103346812494,1.9639592501395904,True,True,False,False
Diacetyl,6,pls,5,12,0.1960457660793254,0.292326813047568,0.09628104696824263,0.1394241340719955,0.05662163200732989,-1.7004286799041526,0.3921813929478099,True,False,True,False
Diacetyl,7,pls,5,6,0.1564506712852556,0.190971852100626,0.034521180815370395,0.1279520086434406,0.028498662641814998,-1.2113263435989725,0.1110044242903785,False,False,True,True
Diacetyl,4,random_forest,5,12,0.1916485498684165,0.0564342534090024,-0.1352142964594141,0.0207163381577602,0.1709322117106563,0.7910404663124389,0.9262079575569934,True,True,False,False
Diacetyl,5,random_forest,5,12,0.1723247902460164,0.0825742952576873,-0.08975049498832911,0.0154110350074225,0.1569137552385939,0.5719734057212501,0.7319900541074696,True,True,False,False
Diacetyl,6,random_forest,5,12,0.0920371301884917,0.0925137673722553,0.00047663718376360353,0.0028867513459481,0.0891503788425436,-0.0053464403623609,-0.0749595930597854,False,False,True,False
Diacetyl,7,random_forest,5,6,0.0040824829046387,0.0033444161394946,-0.0007380667651440999,0.0020412414523193,0.0020412414523194,0.3615773941419132,-0.9589680638705348,False,False,False,True
Diacetyl,4,xgboost,5,12,0.5441228468257101,0.2118439732072735,-0.3322788736184366,0.0001221691222162,0.5440006777034939,0.6108059920461062,0.8683163830521933,True,True,False,False
Diacetyl,5,xgboost,5,12,0.4357041542573548,0.9098346900877222,0.4741305358303674,0.0031953005645176,0.4325088536928372,-1.0962331332229545,0.4960467370774856,True,False,True,False
Diacetyl,6,xgboost,5,12,0.0734876586556955,0.0585574491514636,-0.014930209504231892,0.0044438203072941,0.0690438383484014,0.2162424607521477,-0.7476705905301534,False,False,False,False
Diacetyl,7,xgboost,5,6,0.0037930683983497,0.0067691348864507,0.0029760664881009996,0.0009507391965738,0.0028423292017759,-1.0470520044762772,-0.9869760075835514,False,False,True,True
Phenylethanol,4,pls,5,12,0.8347588470328893,0.5151925461049166,-0.31956630092797267,0.5180425326651026,0.3167163143677867,1.0089985467463998,0.8651112335824975,True,True,False,False
Phenylethanol,5,pls,5,12,0.9122585646507092,0.7520489848037434,-0.16020957984696582,0.5667207502613686,0.3455378143893406,0.4636528136004443,1.0382697385114934,True,False,False,False
Phenylethanol,6,pls,5,12,0.5315646501968927,0.7675748341779501,0.23601018398105744,0.412105492608402,0.11945915758849068,-1.97565585381121,0.1876809739502088,False,False,True,False
Phenylethanol,7,pls,5,6,0.6487147487621924,0.48938489328683,-0.15932985547536238,0.4855422165707471,0.16317253219144529,0.9764502231811024,0.4494307782512688,True,True,False,False
Phenylethanol,4,random_forest,5,12,0.500876315404645,0.5220501887688593,0.02117387336421439,0.4446229676178833,0.056253347786761665,-0.376402013342881,-0.0340647981928959,False,False,True,False
Phenylethanol,5,random_forest,5,12,0.5622240063651972,0.515631878995584,-0.04659212736961316,0.3967734450119698,0.1654505613532274,0.2816075508510464,0.084243639291332,False,False,False,False
Phenylethanol,6,random_forest,5,12,0.4783304297240559,0.8439416039305384,0.3656111742064825,0.3690274380042763,0.10930299171977964,-3.34493291037999,-0.0775443239061568,False,False,True,False
Phenylethanol,7,random_forest,5,6,0.4409317785478081,0.9333816052498548,0.49244982670204673,0.4239693385140015,0.01696244003380659,-29.03177996329417,-0.1496672663576445,False,False,True,True
Phenylethanol,4,xgboost,5,12,0.5048827219285782,0.5130488759970955,0.008166154068517284,0.438248851034462,0.06663387089411621,-0.1225525991352599,0.0033976455686078,False,False,True,False
Phenylethanol,5,xgboost,5,12,0.5585274608210483,0.51494810064953,-0.04357936017151831,0.380187029650419,0.1783404311706293,0.2443605181700119,0.1100105328075213,False,False,False,False
Phenylethanol,6,xgboost,5,12,0.501192514896824,0.6374922211376135,0.13629970624078946,0.343497064821729,0.15769545007509506,-0.864322376935309,-0.0039362260148341,False,False,True,False
Phenylethanol,7,xgboost,5,6,0.4596727214744179,1.0295247933770562,0.5698520719026383,0.4578638126483064,0.0018089088261115105,-315.0253145304141,-0.0864521473468195,False,False,True,True
